ano,municipio,cultura,area_plantada_ha,precipitacao_mm,temp_media_c,rendimento_kg_ha,producao_t
2005,São Miguel do Oeste,Soja,7320,1552.4,23.5,3277.8,23993.51
2005,São Miguel do Oeste,Soja,6315,2415.8,22.8,3316.8,20945.79
2005,São Miguel do Oeste,Soja,7881,1582.8,22.5,3274.6,25807.29
2005,São Miguel do Oeste,Soja,2483,1853.1,20.6,3145.9,7811.15
2005,São Miguel do Oeste,Soja,4605,1810.0,20.7,3147.3,14493.23
2005,São Miguel do Oeste,Soja,2797,1747.1,19.9,2789.3,7801.64
2005,São Miguel do Oeste,Milho,2784,1135.7,26.5,5169.7,14392.47
2005,São Miguel do Oeste,Milho,3606,1960.0,18.5,5463.1,19700.03
2005,São Miguel do Oeste,Milho,6360,888.0,25.4,5411.6,34417.7
2005,São Miguel do Oeste,Milho,7645,1304.5,20.4,5318.3,40658.17
2005,São Miguel do Oeste,Milho,6399,1263.1,20.8,5175.4,33117.35
2005,São Miguel do Oeste,Milho,2663,2485.9,18.0,5254.0,13991.48
2005,São Miguel do Oeste,Trigo,4848,1720.7,25.6,2771.4,13435.77
2005,São Miguel do Oeste,Trigo,4961,1722.8,24.2,2393.8,11875.79
2005,São Miguel do Oeste,Trigo,1325,1748.0,21.1,2507.0,3321.75
2005,São Miguel do Oeste,Trigo,1126,1476.1,23.4,2685.1,3023.39
2005,São Miguel do Oeste,Trigo,6381,1291.3,22.4,2756.5,17589.19
2005,São Miguel do Oeste,Trigo,5844,2199.5,23.4,2869.2,16767.36
2005,São Miguel do Oeste,Arroz,3611,1422.4,21.1,5992.4,21638.47
2005,São Miguel do Oeste,Arroz,7123,2239.0,21.3,5587.4,39798.82
2005,São Miguel do Oeste,Arroz,3695,2330.9,19.3,6073.5,22441.57
2005,São Miguel do Oeste,Arroz,5106,1933.5,23.0,5903.1,30141.31
2005,São Miguel do Oeste,Arroz,2740,1962.6,26.6,5785.0,15850.77
2005,São Miguel do Oeste,Arroz,4538,2504.1,20.2,5879.3,26680.07
2005,São Miguel do Oeste,Feijão,7085,1161.6,25.1,1312.2,9297.27
2005,São Miguel do Oeste,Feijão,7624,1808.6,24.6,1612.1,12290.49
2005,São Miguel do Oeste,Feijão,4686,1436.2,20.5,1438.7,6741.96
2005,São Miguel do Oeste,Feijão,5197,1947.9,20.8,1293.6,6722.73
2005,São Miguel do Oeste,Feijão,2031,2417.3,22.5,1299.4,2639.07
2005,São Miguel do Oeste,Feijão,7442,2102.9,24.5,1217.0,9057.01
2005,São Miguel do Oeste,Mandioca,6826,1933.3,22.8,13943.6,95178.82
2005,São Miguel do Oeste,Mandioca,4794,1694.4,27.8,13640.6,65392.89
2005,São Miguel do Oeste,Mandioca,5403,2003.8,21.5,14112.2,76247.98
2005,São Miguel do Oeste,Mandioca,3354,890.0,20.0,13579.9,45546.87
2005,São Miguel do Oeste,Mandioca,6635,936.6,21.9,13831.9,91774.97
2005,São Miguel do Oeste,Mandioca,5735,2908.5,21.8,13511.7,77489.7
2005,São Miguel do Oeste,Cana-de-açúcar,6578,1541.4,20.7,76420.3,502692.62
2005,São Miguel do Oeste,Cana-de-açúcar,5585,1796.7,19.7,75678.1,422661.97
2005,São Miguel do Oeste,Cana-de-açúcar,3305,2156.0,19.3,81128.1,268128.36
2005,São Miguel do Oeste,Cana-de-açúcar,247,1169.2,25.7,72961.8,18021.57
2005,São Miguel do Oeste,Cana-de-açúcar,6337,1578.0,24.8,82527.3,522975.37
2005,São Miguel do Oeste,Cana-de-açúcar,6596,2193.1,24.7,77533.2,511409.03
2005,São Miguel do Oeste,Café,3269,1322.0,23.4,1531.5,5006.36
2005,São Miguel do Oeste,Café,2435,2497.5,23.4,1675.1,4078.82
2005,São Miguel do Oeste,Café,6666,1892.5,17.7,1514.3,10094.36
2005,São Miguel do Oeste,Café,6337,2133.6,22.7,1833.9,11621.42
2005,São Miguel do Oeste,Café,3693,1828.3,23.5,1724.4,6368.19
2005,São Miguel do Oeste,Café,7450,1881.3,25.9,1549.6,11544.46
2005,São Miguel do Oeste,Algodão,1204,1671.5,25.2,4061.0,4889.43
2005,São Miguel do Oeste,Algodão,3233,2604.9,22.9,3596.6,11627.7
2005,São Miguel do Oeste,Algodão,6030,1356.6,18.7,3083.2,18591.76
2005,São Miguel do Oeste,Algodão,1006,1438.6,24.2,3603.4,3625.06
2005,São Miguel do Oeste,Algodão,6994,1201.5,21.9,4170.1,29165.48
2005,São Miguel do Oeste,Algodão,1268,1469.5,24.5,4286.3,5435.0
2005,São Miguel do Oeste,Girassol,4605,2823.0,22.4,1793.6,8259.39
2005,São Miguel do Oeste,Girassol,6423,1125.8,24.6,1710.4,10986.09
2005,São Miguel do Oeste,Girassol,3404,928.6,19.5,1856.9,6320.95
2005,São Miguel do Oeste,Girassol,5650,2327.4,23.9,1699.6,9602.7
2005,São Miguel do Oeste,Girassol,4804,2465.9,23.2,1577.9,7580.07
2005,São Miguel do Oeste,Girassol,2615,1690.6,21.6,2048.5,5356.71
2005,Descanso,Soja,4326,1951.4,22.2,3213.8,13902.82
2005,Descanso,Soja,3025,1586.1,20.7,3369.2,10191.88
2005,Descanso,Soja,177,1196.4,17.1,2751.6,487.03
2005,Descanso,Soja,7856,2425.3,25.2,3042.8,23904.31
2005,Descanso,Soja,834,2002.4,27.3,2930.6,2444.09
2005,Descanso,Soja,1891,1038.7,23.5,3818.4,7220.65
2005,Descanso,Milho,4830,1549.8,21.6,4909.1,23710.76
2005,Descanso,Milho,2032,2700.2,21.9,5094.4,10351.74
2005,Descanso,Milho,624,1614.3,23.8,4733.8,2953.9
2005,Descanso,Milho,6457,1991.7,19.9,5601.2,36167.16
2005,Descanso,Milho,54,2344.7,21.5,5224.4,282.12
2005,Descanso,Milho,7060,1219.0,26.1,5485.1,38724.6
2005,Descanso,Trigo,4414,1751.8,20.5,3004.5,13261.9
2005,Descanso,Trigo,1419,1604.7,23.5,2843.6,4035.08
2005,Descanso,Trigo,1062,1103.0,21.0,2620.6,2783.09
2005,Descanso,Trigo,5358,2060.1,23.1,2972.8,15928.25
2005,Descanso,Trigo,6983,1267.4,22.7,2585.8,18056.57
2005,Descanso,Trigo,1293,1433.1,23.3,2791.8,3609.82
2005,Descanso,Arroz,5373,1552.8,25.3,6583.8,35374.57
2005,Descanso,Arroz,5931,1575.7,26.6,6258.3,37117.87
2005,Descanso,Arroz,2899,1800.8,24.3,6616.5,19181.23
2005,Descanso,Arroz,3137,1986.2,22.6,5716.5,17932.53
2005,Descanso,Arroz,4642,1954.8,24.8,6082.9,28236.64
2005,Descanso,Arroz,3796,2264.6,20.2,6579.3,24975.13
2005,Descanso,Feijão,2788,2000.8,25.4,1375.6,3835.22
2005,Descanso,Feijão,1116,2277.3,22.8,1295.1,1445.37
2005,Descanso,Feijão,2946,1280.0,26.7,1103.9,3252.08
2005,Descanso,Feijão,164,2376.9,20.1,1258.5,206.39
2005,Descanso,Feijão,7718,2038.2,21.4,1413.0,10905.71
2005,Descanso,Feijão,7214,1572.4,19.5,1305.6,9418.8
2005,Descanso,Mandioca,2554,2641.7,27.1,13095.5,33445.98
2005,Descanso,Mandioca,5154,1972.3,20.0,14862.7,76602.34
2005,Descanso,Mandioca,7407,1109.7,23.1,14750.6,109257.45
2005,Descanso,Mandioca,2964,2186.0,25.9,13784.1,40855.95
2005,Descanso,Mandioca,1415,1534.7,21.1,13556.9,19182.95
2005,Descanso,Mandioca,1869,2242.8,27.7,14583.3,27256.18
2005,Descanso,Cana-de-açúcar,5030,1890.9,19.6,68409.9,344101.55
2005,Descanso,Cana-de-açúcar,3686,1921.2,23.9,77731.7,286519.13
2005,Descanso,Cana-de-açúcar,2206,1946.0,27.0,78788.0,173806.36
2005,Descanso,Cana-de-açúcar,7106,2023.2,20.7,75815.9,538747.77
2005,Descanso,Cana-de-açúcar,3043,1088.3,22.2,79586.9,242182.89
2005,Descanso,Cana-de-açúcar,1415,1906.9,19.8,73937.3,104621.33
2005,Descanso,Café,6638,2465.2,19.4,1455.8,9663.91
2005,Descanso,Café,7343,1272.6,21.1,1635.9,12012.53
2005,Descanso,Café,1293,2515.6,23.4,1641.5,2122.49
2005,Descanso,Café,2008,2041.2,23.6,1850.7,3716.21
2005,Descanso,Café,4335,1552.8,14.6,1486.2,6442.65
2005,Descanso,Café,5286,1420.2,22.2,1803.9,9535.64
2005,Descanso,Algodão,4348,1724.4,22.9,3837.9,16687.14
2005,Descanso,Algodão,6240,1897.7,26.4,4053.4,25293.34
2005,Descanso,Algodão,3536,2446.5,19.9,3730.3,13190.34
2005,Descanso,Algodão,7625,1529.7,17.6,3968.0,30256.34
2005,Descanso,Algodão,5517,1255.9,26.8,3515.5,19394.77
2005,Descanso,Algodão,5014,1406.2,23.0,4316.0,21640.17
2005,Descanso,Girassol,5074,2577.5,17.5,1571.3,7973.03
2005,Descanso,Girassol,7764,1618.4,24.2,2053.9,15946.43
2005,Descanso,Girassol,6643,1245.7,22.6,2009.5,13348.95
2005,Descanso,Girassol,2243,1598.7,16.9,1932.2,4334.04
2005,Descanso,Girassol,3975,1916.4,25.7,1867.7,7424.22
2005,Descanso,Girassol,2806,1582.0,26.5,1823.8,5117.58
2005,Guaraciaba,Soja,2774,1510.1,26.1,2938.7,8151.95
2005,Guaraciaba,Soja,2098,1507.8,22.4,3316.2,6957.36
2005,Guaraciaba,Soja,5615,1951.2,23.5,3210.0,18023.98
2005,Guaraciaba,Soja,4583,1608.3,22.3,3547.2,16256.64
2005,Guaraciaba,Soja,4413,1546.5,29.6,3246.6,14327.14
2005,Guaraciaba,Soja,4031,1624.5,19.1,3290.7,13264.64
2005,Guaraciaba,Milho,7639,1891.4,22.1,6003.4,45860.24
2005,Guaraciaba,Milho,1408,2373.3,24.7,5218.4,7347.51
2005,Guaraciaba,Milho,1381,886.8,27.9,4978.9,6875.87
2005,Guaraciaba,Milho,3227,2040.7,16.9,5242.6,16918.03
